airline,flight_number,departure_airport,arrival_airport,departure_iata,arrival_iata,departure_time,arrival_time,status
Chengdu Airlines,7600,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Loong Air,8792,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
China Southern Airlines,4822,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Sichuan Airlines,4738,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
China Express Air,6440,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Xiamen Airlines,5871,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Tibet Airlines,2472,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Chengdu Airlines,7566,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Loong Air,8886,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
China Southern Airlines,4852,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
Sichuan Airlines,4764,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
China Express Air,6392,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
Xiamen Airlines,5901,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
China Southern Airlines,3445,Zhanjiang,Fenghuang International (Phoenix International),ZHA,SYX,2025-07-30 17:50:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Urumqi Airlines,3527,Zhanjiang,Xianyang,ZHA,XIY,2025-07-30 17:30:00+00:00,2025-07-30 20:15:00+00:00,scheduled
Caspian Airlines,20,Mehrabad (Qualeh Morgeh),Ahwaz,THR,AWZ,2025-07-30 05:30:00+00:00,2025-07-30 06:30:00+00:00,unknown
Hainan Airlines,4521,Zhanjiang,Xianyang,ZHA,XIY,2025-07-30 17:30:00+00:00,2025-07-30 20:15:00+00:00,scheduled
Iran Airtour,964,Mehrabad (Qualeh Morgeh),Mashad,THR,MHD,2025-07-30 05:25:00+00:00,2025-07-30 07:00:00+00:00,unknown
China Eastern Airlines,6410,Zhanjiang,Shanghai,ZHA,HFE,2025-07-30 17:15:00+00:00,2025-07-30 19:45:00+00:00,scheduled
Delta Air Lines,7796,Naha,Seoul (Incheon),OKA,ICN,2025-07-30 13:05:00+00:00,2025-07-30 15:25:00+00:00,active
Japan Airlines,5275,Naha,Seoul (Incheon),OKA,ICN,2025-07-30 13:05:00+00:00,2025-07-30 15:25:00+00:00,active
KLM,9165,Naha,Seoul (Incheon),OKA,ICN,2025-07-30 13:05:00+00:00,2025-07-30 15:25:00+00:00,active
TAP Air Portugal,6384,El Prat De Llobregat,Internacional Benito Juarez,BCN,MEX,2025-07-30 11:05:00+00:00,2025-07-30 15:05:00+00:00,scheduled
Myanmar Airways International,8323,Mingaladon,Dawe,RGN,TVY,2025-07-30 14:40:00+00:00,2025-07-30 15:55:00+00:00,scheduled
Myanmar Airways International,352,Mingaladon,Suvarnabhumi International,RGN,BKK,2025-07-30 14:40:00+00:00,2025-07-30 16:30:00+00:00,scheduled
IndiGo,271,Netaji Subhas Chandra,Borjhar,CCU,GAU,2025-07-30 05:55:00+00:00,2025-07-30 07:10:00+00:00,landed
Maldivian,102,Malé International Airport,Gan Airport,MLE,GAN,2025-07-30 12:05:00+00:00,2025-07-30 13:40:00+00:00,scheduled
Alliance Airlines,7871,Telfer,Perth International,TEF,PER,2025-07-30 14:00:00+00:00,2025-07-30 16:04:00+00:00,active
Alliance Airlines,879,Telfer,Perth International,TEF,PER,2025-07-30 17:20:00+00:00,2025-07-30 19:30:00+00:00,scheduled
China Southern Airlines,7195,Shuangliu,Yichang,CTU,YIH,2025-07-30 07:50:00+00:00,2025-07-30 09:20:00+00:00,active
Tibet Airlines,5195,Shuangliu,Yichang,CTU,YIH,2025-07-30 07:50:00+00:00,2025-07-30 09:20:00+00:00,active
ANA,52,Chitose,Haneda Airport,CTS,HND,2025-07-30 08:30:00+00:00,2025-07-30 10:05:00+00:00,active
Ryanair,4215,Blagnac,Son Sant Joan Airport,TLS,PMI,2025-07-30 12:05:00+00:00,2025-07-30 13:20:00+00:00,scheduled
Air France,6111,Blagnac,Orly,TLS,ORY,2025-07-30 12:00:00+00:00,2025-07-30 13:20:00+00:00,scheduled
Air France,,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:55:00+00:00,2025-07-30 13:10:00+00:00,scheduled
Air France,7415,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:55:00+00:00,2025-07-30 13:25:00+00:00,scheduled
SAS,9891,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:55:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Delta Air Lines,8534,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:55:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Aeromexico,5824,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:55:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Turkish Airlines,1804,Blagnac,Istanbul Airport,TLS,IST,2025-07-30 11:50:00+00:00,2025-07-30 16:30:00+00:00,scheduled
IndiGo,4184,Blagnac,Istanbul Airport,TLS,IST,2025-07-30 11:50:00+00:00,2025-07-30 16:30:00+00:00,scheduled
KLM,1450,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
SAS,6757,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
China Eastern Airlines,1568,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Kenya Airways,1300,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Delta Air Lines,9248,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Air France,3140,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Air France,7403,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Singapore Airlines,1889,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
SAS,9887,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
TAROM,9574,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
China Eastern Airlines,1542,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Air Mauritius,9135,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Gol,5070,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Delta Air Lines,8355,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Alitalia,2569,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Aerolineas Argentinas,7829,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Aeromexico,5899,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
IndiGo,594,Raipur,Chhatrapati Shivaji International (Sahar International),RPR,BOM,2025-07-30 08:45:00+00:00,2025-07-30 10:40:00+00:00,active
Hainan Airlines,3215,Xianyang,Yulin,XIY,UYN,2025-07-30 07:55:00+00:00,2025-07-30 09:00:00+00:00,active
easyJet,323,Edinburgh,Aldergrove International Airport,EDI,BFS,2025-07-30 07:20:00+00:00,2025-07-30 08:10:00+00:00,scheduled
Xiamen Airlines,3243,Tianhe International,Jinzhou,WUH,JNZ,2025-07-30 14:20:00+00:00,2025-07-30 16:55:00+00:00,scheduled
Amapola,662,Arlanda,Gallivare,ARN,GEV,2025-07-30 10:40:00+00:00,2025-07-30 12:40:00+00:00,scheduled
South African Airlink,143,Oliver Reginald Tambo International (Jan Smuts International),Rooikop,JNB,WVB,2025-07-30 14:05:00+00:00,2025-07-30 16:40:00+00:00,scheduled
Air Zimbabwe,468,Oliver Reginald Tambo International (Jan Smuts International),Harare,JNB,HRE,2025-07-30 14:00:00+00:00,2025-07-30 15:45:00+00:00,scheduled
Proflight Zambia,25,Oliver Reginald Tambo International (Jan Smuts International),Lusaka,JNB,LUN,2025-07-30 14:00:00+00:00,2025-07-30 16:00:00+00:00,scheduled
South African Airlink,272,Oliver Reginald Tambo International (Jan Smuts International),Maputo International,JNB,MPM,2025-07-30 13:55:00+00:00,2025-07-30 15:05:00+00:00,scheduled
Qatar Airways,1364,Oliver Reginald Tambo International (Jan Smuts International),Doha International,JNB,DOH,2025-07-30 13:55:00+00:00,2025-07-30 23:15:00+00:00,scheduled
Singapore Airlines,479,Oliver Reginald Tambo International (Jan Smuts International),Singapore Changi,JNB,SIN,2025-07-30 13:45:00+00:00,2025-07-31 06:10:00+00:00,scheduled
South African Airways,555,Oliver Reginald Tambo International (Jan Smuts International),Durban International,JNB,DUR,2025-07-30 13:40:00+00:00,2025-07-30 14:50:00+00:00,scheduled
South African Airlink,839,Oliver Reginald Tambo International (Jan Smuts International),Kruger Mpumalanga International Airport,JNB,MQP,2025-07-30 13:35:00+00:00,2025-07-30 14:30:00+00:00,scheduled
Safair,669,Oliver Reginald Tambo International (Jan Smuts International),Durban International,JNB,DUR,2025-07-30 13:35:00+00:00,2025-07-30 14:45:00+00:00,scheduled
Qatar Airways,8700,Oliver Reginald Tambo International (Jan Smuts International),Jomo Kenyatta International,JNB,NBO,2025-07-30 13:35:00+00:00,2025-07-30 18:35:00+00:00,scheduled
Tibet Airlines,2506,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Chengdu Airlines,7600,Xiangfan,Guangzhou Baiyun International,XFN,CAN,2025-07-30 17:00:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Loong Air,8792,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
China Southern Airlines,4822,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Sichuan Airlines,4738,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
China Express Air,6440,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Xiamen Airlines,5871,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Tibet Airlines,2472,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Chengdu Airlines,7566,Xiangfan,Lishe International Airport,XFN,NGB,2025-07-30 15:40:00+00:00,2025-07-30 17:35:00+00:00,scheduled
Loong Air,8886,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
China Southern Airlines,4852,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
Sichuan Airlines,4764,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
China Express Air,6392,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
Xiamen Airlines,5901,Xiangfan,Hangzhou,XFN,HGH,2025-07-30 15:25:00+00:00,2025-07-30 17:15:00+00:00,scheduled
China Southern Airlines,3445,Zhanjiang,Fenghuang International (Phoenix International),ZHA,SYX,2025-07-30 17:50:00+00:00,2025-07-30 19:00:00+00:00,scheduled
Urumqi Airlines,3527,Zhanjiang,Xianyang,ZHA,XIY,2025-07-30 17:30:00+00:00,2025-07-30 20:15:00+00:00,scheduled
Caspian Airlines,20,Mehrabad (Qualeh Morgeh),Ahwaz,THR,AWZ,2025-07-30 05:30:00+00:00,2025-07-30 06:30:00+00:00,unknown
Hainan Airlines,4521,Zhanjiang,Xianyang,ZHA,XIY,2025-07-30 17:30:00+00:00,2025-07-30 20:15:00+00:00,scheduled
Iran Airtour,964,Mehrabad (Qualeh Morgeh),Mashad,THR,MHD,2025-07-30 05:25:00+00:00,2025-07-30 07:00:00+00:00,unknown
China Eastern Airlines,6410,Zhanjiang,Shanghai,ZHA,HFE,2025-07-30 17:15:00+00:00,2025-07-30 19:45:00+00:00,scheduled
Delta Air Lines,7796,Naha,Seoul (Incheon),OKA,ICN,2025-07-30 13:05:00+00:00,2025-07-30 15:25:00+00:00,active
Japan Airlines,5275,Naha,Seoul (Incheon),OKA,ICN,2025-07-30 13:05:00+00:00,2025-07-30 15:25:00+00:00,active
KLM,9165,Naha,Seoul (Incheon),OKA,ICN,2025-07-30 13:05:00+00:00,2025-07-30 15:25:00+00:00,active
TAP Air Portugal,6384,El Prat De Llobregat,Internacional Benito Juarez,BCN,MEX,2025-07-30 11:05:00+00:00,2025-07-30 15:05:00+00:00,scheduled
Myanmar Airways International,8323,Mingaladon,Dawe,RGN,TVY,2025-07-30 14:40:00+00:00,2025-07-30 15:55:00+00:00,scheduled
Myanmar Airways International,352,Mingaladon,Suvarnabhumi International,RGN,BKK,2025-07-30 14:40:00+00:00,2025-07-30 16:30:00+00:00,scheduled
IndiGo,271,Netaji Subhas Chandra,Borjhar,CCU,GAU,2025-07-30 05:55:00+00:00,2025-07-30 07:10:00+00:00,landed
Maldivian,102,Malé International Airport,Gan Airport,MLE,GAN,2025-07-30 12:05:00+00:00,2025-07-30 13:40:00+00:00,scheduled
Alliance Airlines,7871,Telfer,Perth International,TEF,PER,2025-07-30 14:00:00+00:00,2025-07-30 16:04:00+00:00,active
Alliance Airlines,879,Telfer,Perth International,TEF,PER,2025-07-30 17:20:00+00:00,2025-07-30 19:30:00+00:00,scheduled
China Southern Airlines,7195,Shuangliu,Yichang,CTU,YIH,2025-07-30 07:50:00+00:00,2025-07-30 09:20:00+00:00,active
Tibet Airlines,5195,Shuangliu,Yichang,CTU,YIH,2025-07-30 07:50:00+00:00,2025-07-30 09:20:00+00:00,active
ANA,52,Chitose,Haneda Airport,CTS,HND,2025-07-30 08:30:00+00:00,2025-07-30 10:05:00+00:00,active
Ryanair,4215,Blagnac,Son Sant Joan Airport,TLS,PMI,2025-07-30 12:05:00+00:00,2025-07-30 13:20:00+00:00,scheduled
Air France,6111,Blagnac,Orly,TLS,ORY,2025-07-30 12:00:00+00:00,2025-07-30 13:20:00+00:00,scheduled
Air France,,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:55:00+00:00,2025-07-30 13:10:00+00:00,scheduled
Air France,7415,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:55:00+00:00,2025-07-30 13:25:00+00:00,scheduled
SAS,9891,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:55:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Delta Air Lines,8534,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:55:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Aeromexico,5824,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:55:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Turkish Airlines,1804,Blagnac,Istanbul Airport,TLS,IST,2025-07-30 11:50:00+00:00,2025-07-30 16:30:00+00:00,scheduled
IndiGo,4184,Blagnac,Istanbul Airport,TLS,IST,2025-07-30 11:50:00+00:00,2025-07-30 16:30:00+00:00,scheduled
KLM,1450,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
SAS,6757,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
China Eastern Airlines,1568,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Kenya Airways,1300,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Delta Air Lines,9248,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Air France,3140,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Air France,7403,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Singapore Airlines,1889,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
SAS,9887,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
TAROM,9574,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
China Eastern Airlines,1542,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Air Mauritius,9135,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Gol,5070,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Delta Air Lines,8355,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Alitalia,2569,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Aerolineas Argentinas,7829,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Aeromexico,5899,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
IndiGo,594,Raipur,Chhatrapati Shivaji International (Sahar International),RPR,BOM,2025-07-30 08:45:00+00:00,2025-07-30 10:40:00+00:00,active
Hainan Airlines,3215,Xianyang,Yulin,XIY,UYN,2025-07-30 07:55:00+00:00,2025-07-30 09:00:00+00:00,active
easyJet,323,Edinburgh,Aldergrove International Airport,EDI,BFS,2025-07-30 07:20:00+00:00,2025-07-30 08:10:00+00:00,scheduled
Xiamen Airlines,3243,Tianhe International,Jinzhou,WUH,JNZ,2025-07-30 14:20:00+00:00,2025-07-30 16:55:00+00:00,scheduled
Amapola,662,Arlanda,Gallivare,ARN,GEV,2025-07-30 10:40:00+00:00,2025-07-30 12:40:00+00:00,scheduled
South African Airlink,143,Oliver Reginald Tambo International (Jan Smuts International),Rooikop,JNB,WVB,2025-07-30 14:05:00+00:00,2025-07-30 16:40:00+00:00,scheduled
Air Zimbabwe,468,Oliver Reginald Tambo International (Jan Smuts International),Harare,JNB,HRE,2025-07-30 14:00:00+00:00,2025-07-30 15:45:00+00:00,scheduled
Proflight Zambia,25,Oliver Reginald Tambo International (Jan Smuts International),Lusaka,JNB,LUN,2025-07-30 14:00:00+00:00,2025-07-30 16:00:00+00:00,scheduled
South African Airlink,272,Oliver Reginald Tambo International (Jan Smuts International),Maputo International,JNB,MPM,2025-07-30 13:55:00+00:00,2025-07-30 15:05:00+00:00,scheduled
Qatar Airways,1364,Oliver Reginald Tambo International (Jan Smuts International),Doha International,JNB,DOH,2025-07-30 13:55:00+00:00,2025-07-30 23:15:00+00:00,scheduled
Singapore Airlines,479,Oliver Reginald Tambo International (Jan Smuts International),Singapore Changi,JNB,SIN,2025-07-30 13:45:00+00:00,2025-07-31 06:10:00+00:00,scheduled
South African Airways,555,Oliver Reginald Tambo International (Jan Smuts International),Durban International,JNB,DUR,2025-07-30 13:40:00+00:00,2025-07-30 14:50:00+00:00,scheduled
South African Airlink,839,Oliver Reginald Tambo International (Jan Smuts International),Kruger Mpumalanga International Airport,JNB,MQP,2025-07-30 13:35:00+00:00,2025-07-30 14:30:00+00:00,scheduled
Safair,669,Oliver Reginald Tambo International (Jan Smuts International),Durban International,JNB,DUR,2025-07-30 13:35:00+00:00,2025-07-30 14:45:00+00:00,scheduled
Qatar Airways,8700,Oliver Reginald Tambo International (Jan Smuts International),Jomo Kenyatta International,JNB,NBO,2025-07-30 13:35:00+00:00,2025-07-30 18:35:00+00:00,scheduled
Safair,121,Oliver Reginald Tambo International (Jan Smuts International),Cape Town International,JNB,CPT,2025-07-30 13:25:00+00:00,2025-07-30 15:45:00+00:00,scheduled
Emirates,762,Oliver Reginald Tambo International (Jan Smuts International),Dubai,JNB,DXB,2025-07-30 13:25:00+00:00,2025-07-30 23:40:00+00:00,scheduled
South African Airlink,789,Oliver Reginald Tambo International (Jan Smuts International),Port Elizabeth,JNB,PLZ,2025-07-30 13:20:00+00:00,2025-07-30 15:05:00+00:00,scheduled
Qatar Airways,5672,Oliver Reginald Tambo International (Jan Smuts International),Port Elizabeth,JNB,PLZ,2025-07-30 13:20:00+00:00,2025-07-30 15:05:00+00:00,scheduled
Qantas,8299,Oliver Reginald Tambo International (Jan Smuts International),Port Elizabeth,JNB,PLZ,2025-07-30 13:20:00+00:00,2025-07-30 15:05:00+00:00,scheduled
SWISS,9158,Oliver Reginald Tambo International (Jan Smuts International),Port Elizabeth,JNB,PLZ,2025-07-30 13:20:00+00:00,2025-07-30 15:05:00+00:00,scheduled
Lufthansa,6446,Oliver Reginald Tambo International (Jan Smuts International),Port Elizabeth,JNB,PLZ,2025-07-30 13:20:00+00:00,2025-07-30 15:05:00+00:00,scheduled
British Airways,6284,Oliver Reginald Tambo International (Jan Smuts International),Port Elizabeth,JNB,PLZ,2025-07-30 13:20:00+00:00,2025-07-30 15:05:00+00:00,scheduled
Air France,7102,Oliver Reginald Tambo International (Jan Smuts International),Port Elizabeth,JNB,PLZ,2025-07-30 13:20:00+00:00,2025-07-30 15:05:00+00:00,scheduled
Air Mauritius,852,Oliver Reginald Tambo International (Jan Smuts International),Sir Seewoosagur Ramgoolam International,JNB,MRU,2025-07-30 13:10:00+00:00,2025-07-30 19:10:00+00:00,scheduled
S7 Airlines,5220,Magadan,Tolmachevo,GDX,OVB,2025-07-30 10:10:00+00:00,2025-07-30 11:35:00+00:00,landed
S7 Airlines,5362,Novokuznetsk,Tolmachevo,NOZ,OVB,2025-07-30 10:25:00+00:00,2025-07-30 11:25:00+00:00,landed
S7 Airlines,5304,Norilsk,Tolmachevo,NSK,OVB,2025-07-30 08:45:00+00:00,2025-07-30 11:25:00+00:00,landed
S7 Airlines,5210,Blagoveschensk,Tolmachevo,BQS,OVB,2025-07-30 08:45:00+00:00,2025-07-30 11:25:00+00:00,landed
S7 Airlines,5246,Neryungri,Tolmachevo,NER,OVB,2025-07-30 09:30:00+00:00,2025-07-30 11:20:00+00:00,landed
Virgin Atlantic,6934,Birmingham Airport,Schiphol,BHX,AMS,2025-07-30 06:00:00+00:00,2025-07-30 08:10:00+00:00,active
China Eastern Airlines,1648,Birmingham Airport,Schiphol,BHX,AMS,2025-07-30 06:00:00+00:00,2025-07-30 08:10:00+00:00,active
Kenya Airways,1420,Birmingham Airport,Schiphol,BHX,AMS,2025-07-30 06:00:00+00:00,2025-07-30 08:10:00+00:00,active
Delta Air Lines,9449,Birmingham Airport,Schiphol,BHX,AMS,2025-07-30 06:00:00+00:00,2025-07-30 08:10:00+00:00,active
Air Baltic,6033,Birmingham Airport,Schiphol,BHX,AMS,2025-07-30 06:00:00+00:00,2025-07-30 08:10:00+00:00,active
Air France,1565,Birmingham Airport,Charles De Gaulle,BHX,CDG,2025-07-30 06:00:00+00:00,2025-07-30 08:30:00+00:00,active
WestJet,5107,Birmingham Airport,Charles De Gaulle,BHX,CDG,2025-07-30 06:00:00+00:00,2025-07-30 08:30:00+00:00,active
Virgin Atlantic,6619,Birmingham Airport,Charles De Gaulle,BHX,CDG,2025-07-30 06:00:00+00:00,2025-07-30 08:30:00+00:00,active
Saudia,6051,Birmingham Airport,Charles De Gaulle,BHX,CDG,2025-07-30 06:00:00+00:00,2025-07-30 08:30:00+00:00,active
China Eastern Airlines,1764,Birmingham Airport,Charles De Gaulle,BHX,CDG,2025-07-30 06:00:00+00:00,2025-07-30 08:30:00+00:00,active
Air Mauritius,9335,Birmingham Airport,Charles De Gaulle,BHX,CDG,2025-07-30 06:00:00+00:00,2025-07-30 08:30:00+00:00,active
Air France,3140,Blagnac,Schiphol,TLS,AMS,2025-07-30 11:30:00+00:00,2025-07-30 13:25:00+00:00,scheduled
Air France,7403,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Singapore Airlines,1889,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
SAS,9887,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
TAROM,9574,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
China Eastern Airlines,1542,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Air Mauritius,9135,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Gol,5070,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Delta Air Lines,8355,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Alitalia,2569,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Aerolineas Argentinas,7829,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
Aeromexico,5899,Blagnac,Charles De Gaulle,TLS,CDG,2025-07-30 11:30:00+00:00,2025-07-30 13:00:00+00:00,scheduled
IndiGo,594,Raipur,Chhatrapati Shivaji International (Sahar International),RPR,BOM,2025-07-30 08:45:00+00:00,2025-07-30 10:40:00+00:00,active
