airline,flight_number,departure_airport,arrival_airport,departure_iata,arrival_iata,departure_time,arrival_time,status
Ryanair,4842,Charleroi Brussels South,Garons,CRL,FNI,2025-07-30 07:55:00+00:00,2025-07-30 09:35:00+00:00,scheduled
easyJet,8534,Faro,Gatwick,FAO,LGW,2025-07-30 10:15:00+00:00,2025-07-30 13:05:00+00:00,scheduled
AJet,3171,Erkilet International Airport,Sabiha Gokcen,ASR,SAW,2025-07-30 09:55:00+00:00,2025-07-30 11:25:00+00:00,scheduled
Turkish Airlines,2011,Erkilet International Airport,Istanbul Airport,ASR,IST,2025-07-30 08:45:00+00:00,2025-07-30 10:25:00+00:00,active
TAP Air Portugal,8809,Erkilet International Airport,Istanbul Airport,ASR,IST,2025-07-30 08:45:00+00:00,2025-07-30 10:25:00+00:00,active
Thai Airways International,9333,Erkilet International Airport,Istanbul Airport,ASR,IST,2025-07-30 08:45:00+00:00,2025-07-30 10:25:00+00:00,active
Singapore Airlines,6211,Erkilet International Airport,Istanbul Airport,ASR,IST,2025-07-30 08:45:00+00:00,2025-07-30 10:25:00+00:00,active
Air Serbia,8063,Erkilet International Airport,Istanbul Airport,ASR,IST,2025-07-30 08:45:00+00:00,2025-07-30 10:25:00+00:00,active
Royal Air Maroc,9459,Erkilet International Airport,Istanbul Airport,ASR,IST,2025-07-30 08:45:00+00:00,2025-07-30 10:25:00+00:00,active
SunExpress,9039,Erkilet International Airport,Adnan Menderes Airport,ASR,ADB,2025-07-30 08:25:00+00:00,2025-07-30 10:00:00+00:00,active
Pegasus,2731,Erkilet International Airport,Sabiha Gokcen,ASR,SAW,2025-07-30 08:00:00+00:00,2025-07-30 09:25:00+00:00,active
flynas,5731,Erkilet International Airport,Sabiha Gokcen,ASR,SAW,2025-07-30 08:00:00+00:00,2025-07-30 09:25:00+00:00,active
Vueling,6864,Peretola,Fontanarossa,FLR,CTA,2025-07-30 12:55:00+00:00,2025-07-30 14:35:00+00:00,scheduled
Air France,,Peretola,Charles De Gaulle,FLR,CDG,2025-07-30 12:50:00+00:00,2025-07-30 14:31:00+00:00,scheduled
Air France,1467,Peretola,Charles De Gaulle,FLR,CDG,2025-07-30 12:50:00+00:00,2025-07-30 14:40:00+00:00,scheduled
KLM,2049,Peretola,Charles De Gaulle,FLR,CDG,2025-07-30 12:50:00+00:00,2025-07-30 14:40:00+00:00,scheduled
Delta Air Lines,8320,Peretola,Charles De Gaulle,FLR,CDG,2025-07-30 12:50:00+00:00,2025-07-30 14:40:00+00:00,scheduled
British Airways,525,Peretola,Heathrow,FLR,LHR,2025-07-30 12:40:00+00:00,2025-07-30 14:05:00+00:00,scheduled
Vueling,6206,Peretola,Gatwick,FLR,LGW,2025-07-30 12:35:00+00:00,2025-07-30 14:00:00+00:00,scheduled
British Airways,8080,Peretola,Gatwick,FLR,LGW,2025-07-30 12:35:00+00:00,2025-07-30 14:00:00+00:00,scheduled
Air France,1367,Peretola,Charles De Gaulle,FLR,CDG,2025-07-30 12:15:00+00:00,2025-07-30 14:05:00+00:00,scheduled
Air Austral,8367,Peretola,Charles De Gaulle,FLR,CDG,2025-07-30 12:15:00+00:00,2025-07-30 14:05:00+00:00,scheduled
Kenya Airways,3929,Peretola,Charles De Gaulle,FLR,CDG,2025-07-30 12:15:00+00:00,2025-07-30 14:05:00+00:00,scheduled
